entry_number,body_type,highway_fuel_economy,horsepower,interior_color,listed_date,listing_color,listing_id,longitude,main_picture_url,,make_name,maximum_seating,mileage,model_name,power,price,sp_name,transmission,transmission_display,trim_name,wheel_system,wheel_system_display,year,age_of_customer
425,SUV / Crossover,28,182,Jet Black,08/09/20,GRAY,281581438,-73.2587,https://cdn.inventoryrsc.com/104673090_5f57fefe4f23e5041359632c.jpg?cargurus_image_modified_date=275F3DC46174C02BBC335AA0CAA26664,,GMC,5 seats,47502,Terrain,"182 hp @ 6,700 RPM",16972,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,SLE1 AWD,AWD,All-Wheel Drive,2017,50
426,Sedan,21,382,Black,19/08/20,BLACK,279637963,-72.6545,https://static.cargurus.com/images/forsale/2020/08/26/21/18/2010_mercedes-benz_s-class-pic-8453973435230522770-152x114.jpeg,,Mercedes-Benz,5 seats,60272,S-Class,"382 hp @ 6,000 RPM",21993,Gengras Chrysler Dodge Jeep Ram,A,Automatic,S 550 4MATIC,AWD,All-Wheel Drive,2010,57
427,Coupe,24,449,Brown (Silk Beige/Espresso),18/07/20,WHITE,276980697,-73.4643,https://static.cargurus.com/images/forsale/2020/08/14/06/48/2016_mercedes-benz_s-class_coupe-pic-4355968203898184934-152x114.jpeg,,Mercedes-Benz,4 seats,88528,S-Class Coupe,"449 hp @ 5,250 RPM",48895,Dream Car Gallery,A,Automatic,S 550 4MATIC,AWD,All-Wheel Drive,2016,23
428,Sedan,28,315,Black,04/09/20,WHITE,281263516,-73.4643,https://static.cargurus.com/images/forsale/2020/07/19/18/27/2013_bmw_7_series-pic-7091407307636653648-152x114.jpeg,,BMW,5 seats,58410,7 Series,"315 hp @ 5,800 RPM",17999,Dream Car Gallery,A,Automatic,740Li xDrive AWD,AWD,All-Wheel Drive,2013,56
429,SUV / Crossover,,170,Jet Black,01/09/20,GRAY,280883991,-73.2587,https://static.cargurus.com/images/forsale/2020/09/01/00/12/2019_chevrolet_equinox-pic-2847627841742242351-152x114.jpeg,,Chevrolet,5 seats,17559,Equinox,,25569,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,1.5T Premier AWD,4WD,Four-Wheel Drive,2019,77
430,Sedan,35,178,Black,16/08/20,GRAY,279465227,-72.6545,https://static.cargurus.com/images/forsale/2020/08/26/21/18/2015_toyota_camry-pic-2792510890069728071-152x114.jpeg,,Toyota,5 seats,126199,Camry,"178 hp @ 6,000 RPM",10933,Gengras Chrysler Dodge Jeep Ram,A,Automatic,LE,FWD,Front-Wheel Drive,2015,24
431,SUV / Crossover,30,180,Black,26/02/20,BLACK,266943739,-72.6545,https://static.cargurus.com/images/forsale/2020/04/16/18/24/2020_jeep_compass-pic-1320011943469621584-152x114.jpeg,,Jeep,5 seats,22,Compass,"180 hp @ 6,400 RPM",21681,Gengras Chrysler Dodge Jeep Ram,A,Automatic,Latitude 4WD,4WD,Four-Wheel Drive,2020,28
432,Sedan,29,268,Jet Black/Jet Black Accents,30/07/20,BLACK,277998709,-73.2587,https://static.cargurus.com/images/forsale/2020/08/09/00/18/2017_cadillac_cts-pic-1291126691518773621-152x114.jpeg,,Cadillac,5 seats,52884,CTS,"268 hp @ 5,600 RPM",23939,Atlantic Chevrolet Cadillac,A,8-Speed Automatic,2.0T Luxury AWD,AWD,All-Wheel Drive,2017,21
433,SUV / Crossover,28,175,Black,17/07/20,SILVER,276779058,-72.6545,https://static.cargurus.com/images/forsale/2020/08/27/01/10/2017_hyundai_tucson-pic-4515492889028902577-152x114.jpeg,,Hyundai,5 seats,24630,Tucson,"175 hp @ 5,500 RPM",19993,Gengras Chrysler Dodge Jeep Ram,A,Automatic,1.6T Limited AWD,AWD,All-Wheel Drive,2017,68
434,SUV / Crossover,26,335,Black (Ebony),24/07/20,BLUE,277378779,-72.6545,https://static.cargurus.com/images/forsale/2020/08/26/21/18/2020_ford_edge-pic-4265654135616464603-152x114.jpeg,,Ford,5 seats,3699,Edge,"335 hp @ 5,500 RPM",37993,Gengras Chrysler Dodge Jeep Ram,A,Automatic,ST AWD,AWD,All-Wheel Drive,2020,62
435,SUV / Crossover,30,180,Black,18/08/19,BLACK,249643011,-72.6545,https://static.cargurus.com/images/forsale/2020/07/10/21/40/2020_jeep_compass-pic-6580732841032337119-152x114.jpeg,,Jeep,5 seats,22,Compass,"180 hp @ 6,400 RPM",20784,Gengras Chrysler Dodge Jeep Ram,A,Automatic,Latitude 4WD,4WD,Four-Wheel Drive,2020,53
436,SUV / Crossover,33,148,White (Ivory),02/09/20,WHITE,280966212,-72.6545,https://static.cargurus.com/images/forsale/2020/09/04/00/16/2013_subaru_xv_crosstrek-pic-1416468943966138850-152x114.jpeg,,Subaru,5 seats,79641,XV Crosstrek,,13993,Gengras Chrysler Dodge Jeep Ram,CVT,Continuously Variable Transmission,Limited AWD,AWD,All-Wheel Drive,2013,20
437,SUV / Crossover,22,281,Black (Ebony),20/08/20,WHITE,279790187,-72.6545,https://static.cargurus.com/images/forsale/2020/08/26/21/18/2016_gmc_acadia-pic-8530933163795113483-152x114.jpeg,,GMC,8 seats,63844,Acadia,"281 hp @ 6,300 RPM",19993,Gengras Chrysler Dodge Jeep Ram,A,Automatic,SLE-2 AWD,AWD,All-Wheel Drive,2016,23
438,SUV / Crossover,,355,Jet Black,21/08/20,GRAY,279931198,-73.2587,,,Chevrolet,8 seats,33269,Suburban,"355 hp @ 5,600 RPM",42922,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,1500 LT 4WD,4WD,Four-Wheel Drive,2019,64
439,SUV / Crossover,,310,Jet Black,05/09/20,WHITE,281349348,-73.2587,https://static.cargurus.com/images/forsale/2020/09/05/01/18/2018_chevrolet_traverse-pic-934685700219386102-152x114.jpeg,,Chevrolet,7 seats,48121,Traverse,"310 hp @ 6,800 RPM",33439,Atlantic Chevrolet Cadillac,A,9-Speed Automatic,Premier AWD,4WD,Four-Wheel Drive,2018,49
440,SUV / Crossover,29,177,Black,08/05/19,WHITE,240060888,-72.6545,https://static.cargurus.com/images/forsale/2020/03/20/09/25/2019_jeep_renegade-pic-199399265018882987-152x114.jpeg,,Jeep,5 seats,13,Renegade,"177 hp @ 5,750 RPM",21999,Gengras Chrysler Dodge Jeep Ram,A,Automatic,Sport 4WD,4WD,Four-Wheel Drive,2019,56
441,SUV / Crossover,30,180,Black,20/02/20,BLACK,266371792,-72.6545,https://static.cargurus.com/images/forsale/2020/04/10/19/15/2020_jeep_compass-pic-113546072237654885-152x114.jpeg,,Jeep,5 seats,22,Compass,"180 hp @ 6,400 RPM",21984,Gengras Chrysler Dodge Jeep Ram,A,Automatic,Latitude 4WD,4WD,Four-Wheel Drive,2020,28
442,Sedan,24,330,Brown (wheat),09/11/19,BLUE,257463140,-73.1055,https://static.cargurus.com/images/forsale/2020/06/26/01/39/2016_infiniti_q70-pic-6581644475508380248-152x114.jpeg,,INFINITI,5 seats,43969,Q70,"330 hp @ 7,000 RPM",24550,Generation Kia,A,7-Speed Automatic,3.7 AWD,AWD,All-Wheel Drive,2016,53
443,SUV / Crossover,,,Black,08/03/20,BLACK,268084959,-72.6545,https://static.cargurus.com/images/forsale/2020/04/01/17/32/2020_jeep_compass-pic-3887672567203326610-152x114.jpeg,,Jeep,,2,Compass,,22256,Gengras Chrysler Dodge Jeep Ram,A,Automatic,,,,2020,60
444,Sedan,33,147,Black,20/08/20,BLACK,279826464,-73.8317,https://static.cargurus.com/images/forsale/2020/08/28/05/39/2017_kia_forte-pic-3159412723541245533-152x114.jpeg,,Kia,5 seats,30432,Forte,"147 hp @ 6,200 RPM",14000,Eastchester Chrysler Jeep Dodge Ram,A,6-Speed Automatic,S,FWD,Front-Wheel Drive,2017,36
445,Sedan,27,270,light titanium ebony,23/08/20,RED,280152149,-73.1055,https://static.cargurus.com/images/forsale/2020/08/26/23/58/2012_cadillac_cts-pic-879562117737415981-152x114.jpeg,,Cadillac,5 seats,66390,CTS,"270 hp @ 7,000 RPM",12234,Generation Kia,A,6-Speed Automatic,3.0L Luxury RWD,RWD,Rear-Wheel Drive,2012,73
