entry_number,body_type,highway_fuel_economy,horsepower,interior_color,listed_date,listing_color,listing_id,longitude,main_picture_url,,make_name,maximum_seating,mileage,model_name,power,price,sp_name,transmission,transmission_display,trim_name,wheel_system,wheel_system_display,year,age_of_customer
1,SUV / Crossover,,177,Black,06/04/19,YELLOW,237132766,-66.1582,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2019_jeep_renegade-pic-3296019950109819645-152x114.jpeg,,Jeep,5 seats,7,Renegade,"177 hp @ 5,750 RPM",23141,Flagship Chrysler,A,9-Speed Automatic Overdrive,Latitude FWD,FWD,Front-Wheel Drive,2019,26
2,SUV / Crossover,,246,Black (Ebony),15/02/20,BLACK,265946296,-66.0785,https://static.cargurus.com/images/forsale/2020/05/15/18/25/2020_land_rover_discovery_sport-pic-3854830367929838997-152x114.jpeg,,Land Rover,7 seats,8,Discovery Sport,"246 hp @ 5,500 RPM",46500,Land Rover San Juan,A,9-Speed Automatic Overdrive,S AWD,AWD,All-Wheel Drive,2020,21
3,Sedan,23,305,None,25/04/17,UNKNOWN,173473508,-66.1098,,,Subaru,5 seats,,WRX STI,"305 hp @ 6,000 RPM",46995,FIAT de San Juan,M,6-Speed Manual,Base,AWD,All-Wheel Drive,2016,74
4,SUV / Crossover,,340,Gray (Ebony/Ebony/Ebony),26/02/20,GRAY,266911050,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/20/55/2020_land_rover_discovery-pic-3571104253551947583-152x114.jpeg,,Land Rover,7 seats,11,Discovery,"340 hp @ 6,500 RPM",67430,Land Rover San Juan,A,8-Speed Automatic Overdrive,V6 HSE AWD,AWD,All-Wheel Drive,2020,31
5,SUV / Crossover,,246,Black (Ebony),25/04/20,BLACK,270957414,-66.0785,https://static.cargurus.com/images/forsale/2020/07/19/01/27/2020_land_rover_discovery_sport-pic-2859722089486346228-152x114.jpeg,,Land Rover,7 seats,7,Discovery Sport,"246 hp @ 5,500 RPM",48880,Land Rover San Juan,A,9-Speed Automatic Overdrive,S AWD,AWD,All-Wheel Drive,2020,68
6,SUV / Crossover,,247,Brown (Ebony / Ebony),11/01/20,UNKNOWN,262940541,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/20/55/2020_land_rover_range_rover_velar-pic-8429547440869393875-152x114.jpeg,,Land Rover,5 seats,12,Range Rover Velar,"247 hp @ 5,500 RPM",66903,Land Rover San Juan,A,8-Speed Automatic Overdrive,P250 R-Dynamic S AWD,AWD,All-Wheel Drive,2020,76
7,Sedan,,186,Black,20/06/19,SILVER,244110426,-66.1582,https://static.cargurus.com/images/forsale/2019/02/20/17/08/2019_mazda_mazda3-pic-307344583231226018-152x114.jpeg,,Mazda,5 seats,14,MAZDA3,"186 hp @ 6,000 RPM",23695,Flagship Chrysler,A,6-Speed Automatic Overdrive,Sedan FWD,FWD,Front-Wheel Drive,2019,74
8,SUV / Crossover,,247,White (Eclipse / Ebony / Ebony),01/07/20,WHITE,275458784,-66.0785,https://static.cargurus.com/images/forsale/2020/07/18/23/23/2020_land_rover_range_rover_velar-pic-4574376849965700020-152x114.jpeg,,Land Rover,5 seats,11,Range Rover Velar,"247 hp @ 5,500 RPM",68520,Land Rover San Juan,A,8-Speed Automatic Overdrive,P250 R-Dynamic S AWD,AWD,All-Wheel Drive,2020,18
9,SUV / Crossover,,246,Black (Ebony),26/02/20,GRAY,266911040,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/20/55/2020_land_rover_discovery_sport-pic-3027506044570298028-152x114.jpeg,,Land Rover,7 seats,8,Discovery Sport,"246 hp @ 5,500 RPM",51245,Land Rover San Juan,A,9-Speed Automatic Overdrive,S AWD,AWD,All-Wheel Drive,2020,27
10,SUV / Crossover,,296,Eclipse/Ebony,18/04/19,WHITE,238225156,-66.0785,https://static.cargurus.com/images/forsale/2020/05/15/20/27/2020_land_rover_range_rover_evoque-pic-5909390658865522284-152x114.jpeg,,Land Rover,5 seats,254,Range Rover Evoque,"296 hp @ 5,500 RPM",84399,Land Rover San Juan,A,9-Speed Automatic Overdrive,P300 R-Dynamic SE AWD,AWD,All-Wheel Drive,2020,24
11,Coupe,,237,None,06/04/17,RED,171865107,-66.1098,https://static.cargurus.com/images/forsale/2017/04/18/18/55/2015_alfa_romeo_4c-pic-5436617585836482578-152x114.jpeg,,Alfa Romeo,2 seats,301,4C,"237 hp @ 6,000 RPM",97579,FIAT de San Juan,A,6-Speed Automatic,Launch Edition Coupe RWD,RWD,Rear-Wheel Drive,2015,58
12,SUV / Crossover,,246,Black (Ebony),14/03/20,BLACK,268609420,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_range_rover_evoque-pic-4840738600105688260-152x114.jpeg,,Land Rover,5 seats,22,Range Rover Evoque,"246 hp @ 5,500 RPM",51885,Land Rover San Juan,A,9-Speed Automatic Overdrive,P250 S AWD,AWD,All-Wheel Drive,2020,41
13,Sedan,33,320,None,25/04/17,SILVER,173473505,-66.1098,https://static.cargurus.com/images/forsale/2017/04/28/19/21/2016_bmw_3_series-pic-3309450928448552030-152x114.jpeg,,BMW,5 seats,6903,3 Series,"320 hp @ 5,500 RPM",58995,FIAT de San Juan,A,8-Speed Automatic,340i xDrive Sedan AWD,AWD,All-Wheel Drive,2016,32
14,SUV / Crossover,,247,Gray (Ebony / Ebony),21/02/20,UNKNOWN,266454434,-66.0785,https://static.cargurus.com/images/forsale/2020/05/19/19/08/2020_land_rover_range_rover_velar-pic-4444348190101517847-152x114.jpeg,,Land Rover,5 seats,20,Range Rover Velar,"247 hp @ 5,500 RPM",68725,Land Rover San Juan,A,8-Speed Automatic Overdrive,P250 R-Dynamic S AWD,AWD,All-Wheel Drive,2020,28
15,Sedan,,186,Black,20/06/19,WHITE,244110428,-66.1582,https://static.cargurus.com/images/forsale/2019/03/08/17/26/2019_mazda_mazda3-pic-8969145182334044642-152x114.jpeg,,Mazda,5 seats,204,MAZDA3,"186 hp @ 6,000 RPM",23695,Flagship Chrysler,A,6-Speed Automatic Overdrive,Sedan FWD,FWD,Front-Wheel Drive,2019,39
16,Sedan,,186,Black,20/06/19,WHITE,244110438,-66.1582,https://static.cargurus.com/images/forsale/2019/03/08/17/26/2019_mazda_mazda3-pic-8969145182334044642-152x114.jpeg,,Mazda,5 seats,61,MAZDA3,"186 hp @ 6,000 RPM",23695,Flagship Chrysler,A,6-Speed Automatic Overdrive,Sedan FWD,FWD,Front-Wheel Drive,2019,21
17,SUV / Crossover,,246,Black (Ebony),06/03/20,RED,267851174,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_discovery_sport-pic-1295212371223012285-152x114.jpeg,,Land Rover,7 seats,6,Discovery Sport,"246 hp @ 5,500 RPM",52275,Land Rover San Juan,A,9-Speed Automatic Overdrive,SE AWD,AWD,All-Wheel Drive,2020,41
18,SUV / Crossover,,247,Red (Ebony / Ebony),20/08/20,RED,279794909,-66.0785,https://static.cargurus.com/images/forsale/2019/11/14/20/13/2020_land_rover_range_rover_velar-pic-6925208566497109919-152x114.jpeg,,Land Rover,5 seats,7,Range Rover Velar,"247 hp @ 5,500 RPM",68760,Land Rover San Juan,A,8-Speed Automatic Overdrive,P250 R-Dynamic S AWD,AWD,All-Wheel Drive,2020,53
19,SUV / Crossover,,247,Brown (Ebony / Ebony),27/08/20,UNKNOWN,280451806,-66.0785,https://static.cargurus.com/images/forsale/2019/11/15/07/28/2020_land_rover_range_rover_velar-pic-3753375315754484487-152x114.jpeg,,Land Rover,5 seats,5,Range Rover Velar,"247 hp @ 5,500 RPM",68760,Land Rover San Juan,A,8-Speed Automatic Overdrive,P250 R-Dynamic S AWD,AWD,All-Wheel Drive,2020,30
20,SUV / Crossover,,246,Black (Ebony),23/01/20,BLACK,263868330,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_discovery_sport-pic-1059067303743162028-152x114.jpeg,,Land Rover,7 seats,8,Discovery Sport,"246 hp @ 5,500 RPM",53770,Land Rover San Juan,A,9-Speed Automatic Overdrive,SE AWD,AWD,All-Wheel Drive,2020,71
21,Sedan,,186,Black,20/06/19,WHITE,244110465,-66.1582,https://static.cargurus.com/images/forsale/2019/03/08/17/26/2019_mazda_mazda3-pic-8969145182334044642-152x114.jpeg,,Mazda,5 seats,17,MAZDA3,"186 hp @ 6,000 RPM",23695,Flagship Chrysler,A,6-Speed Automatic Overdrive,Sedan FWD,FWD,Front-Wheel Drive,2019,73
22,Sedan,,186,Black,29/06/19,SILVER,244955529,-66.1582,https://static.cargurus.com/images/forsale/2019/02/20/17/08/2019_mazda_mazda3-pic-307344583231226018-152x114.jpeg,,Mazda,5 seats,12,MAZDA3,"186 hp @ 6,000 RPM",23695,Flagship Chrysler,A,6-Speed Automatic Overdrive,Sedan FWD,FWD,Front-Wheel Drive,2019,49
23,SUV / Crossover,,246,Blue (Light Oyster),01/07/20,BLUE,275458767,-66.0785,https://static.cargurus.com/images/forsale/2020/07/19/10/04/2020_land_rover_discovery_sport-pic-2635514795797959905-152x114.jpeg,,Land Rover,7 seats,8,Discovery Sport,"246 hp @ 5,500 RPM",54500,Land Rover San Juan,A,9-Speed Automatic Overdrive,SE AWD,AWD,All-Wheel Drive,2020,54
24,SUV / Crossover,,246,Acorn,21/10/19,WHITE,255748405,-66.0785,https://static.cargurus.com/images/forsale/2020/05/15/18/25/2020_land_rover_discovery_sport-pic-2994299981408115454-152x114.jpeg,,Land Rover,7 seats,,Discovery Sport,"246 hp @ 5,500 RPM",68899,Land Rover San Juan,A,9-Speed Automatic Overdrive,SE AWD,AWD,All-Wheel Drive,2020,47
25,SUV / Crossover,,340,Black (Ebony/Ebony/Ebony),06/03/20,BLACK,267851183,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_discovery-pic-2324268920250369750-152x114.jpeg,,Land Rover,7 seats,6,Discovery,"340 hp @ 6,500 RPM",68905,Land Rover San Juan,A,8-Speed Automatic Overdrive,V6 HSE AWD,AWD,All-Wheel Drive,2020,77
26,SUV / Crossover,,246,Black (Ebony),15/08/20,ORANGE,279398721,-66.0785,https://static.cargurus.com/images/forsale/2020/08/14/23/26/2020_land_rover_discovery_sport-pic-5641890279247044292-152x114.jpeg,,Land Rover,7 seats,7,Discovery Sport,"246 hp @ 5,500 RPM",54515,Land Rover San Juan,A,9-Speed Automatic Overdrive,SE AWD,AWD,All-Wheel Drive,2020,42
27,SUV / Crossover,,148,Black,30/03/19,WHITE,236398892,-66.1582,https://static.cargurus.com/images/forsale/2018/07/18/18/30/2019_mazda_cx-3-pic-2874976164897721483-152x114.jpeg,,Mazda,5 seats,10,CX-3,"148 hp @ 6,000 RPM",24245,Flagship Chrysler,A,6-Speed Automatic Overdrive,Sport FWD,FWD,Front-Wheel Drive,2019,31
28,SUV / Crossover,,177,Black,06/04/19,WHITE,237132758,-66.1582,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2019_jeep_renegade-pic-6462694978152775703-152x114.jpeg,,Jeep,5 seats,20,Renegade,"177 hp @ 5,750 RPM",27587,Flagship Chrysler,A,9-Speed Automatic Overdrive,Latitude 4WD,4WD,Four-Wheel Drive,2019,21
29,SUV / Crossover,,246,Black (Ebony),01/07/20,GRAY,275458789,-66.0785,https://static.cargurus.com/images/forsale/2020/07/19/10/04/2020_land_rover_discovery_sport-pic-7405811283458398912-152x114.jpeg,,Land Rover,7 seats,11,Discovery Sport,"246 hp @ 5,500 RPM",54540,Land Rover San Juan,A,9-Speed Automatic Overdrive,SE AWD,AWD,All-Wheel Drive,2020,49
30,SUV / Crossover,,254,Black (Ebony/Ebony/Ebony),26/02/20,BLACK,266911044,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/20/55/2020_land_rover_discovery-pic-6638373858528509864-152x114.jpeg,,Land Rover,7 seats,13,Discovery,"254 hp @ 3,750 RPM",68950,Land Rover San Juan,A,8-Speed Automatic Overdrive,Td6 SE AWD,AWD,All-Wheel Drive,2020,25
31,SUV / Crossover,,247,Silver (Ebony / Ebony),01/07/20,SILVER,275458770,-66.0785,https://static.cargurus.com/images/forsale/2020/07/18/23/23/2020_land_rover_range_rover_velar-pic-3759309829639380662-152x114.jpeg,,Land Rover,5 seats,10,Range Rover Velar,"247 hp @ 5,500 RPM",69040,Land Rover San Juan,A,8-Speed Automatic Overdrive,P250 R-Dynamic S AWD,AWD,All-Wheel Drive,2020,25
32,SUV / Crossover,,187,Black,30/03/19,BLUE,236398734,-66.1582,https://static.cargurus.com/images/forsale/2018/12/20/17/24/2019_mazda_cx-5-pic-6765925977397527995-152x114.jpeg,,Mazda,5 seats,569,CX-5,"187 hp @ 6,000 RPM",28345,Flagship Chrysler,A,6-Speed Automatic Overdrive,Sport FWD,FWD,Front-Wheel Drive,2019,71
33,SUV / Crossover,,246,Black (Ebony),25/04/20,WHITE,270957417,-66.0785,https://static.cargurus.com/images/forsale/2020/05/15/18/25/2020_land_rover_range_rover_evoque-pic-5089641747786200529-152x114.jpeg,,Land Rover,5 seats,7,Range Rover Evoque,"246 hp @ 5,500 RPM",55525,Land Rover San Juan,A,9-Speed Automatic Overdrive,P250 SE AWD,AWD,All-Wheel Drive,2020,62
34,SUV / Crossover,,177,Black,06/04/19,BLACK,237132764,-66.1582,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2019_jeep_renegade-pic-2830268927331148744-152x114.jpeg,,Jeep,5 seats,7,Renegade,"177 hp @ 5,750 RPM",27587,Flagship Chrysler,A,9-Speed Automatic Overdrive,Latitude 4WD,4WD,Four-Wheel Drive,2019,73
35,SUV / Crossover,,340,Gray (Ebony/Ebony/Ebony),01/07/20,GRAY,275458786,-66.0785,https://static.cargurus.com/images/forsale/2020/07/18/23/23/2020_land_rover_discovery-pic-2655104945433947160-152x114.jpeg,,Land Rover,7 seats,13,Discovery,"340 hp @ 6,500 RPM",69095,Land Rover San Juan,A,8-Speed Automatic Overdrive,V6 Landmark Edition,AWD,All-Wheel Drive,2020,71
36,SUV / Crossover,,246,Black (Ebony),23/01/20,ORANGE,263868321,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_discovery_sport-pic-6251027811582851321-152x114.jpeg,,Land Rover,7 seats,110,Discovery Sport,"246 hp @ 5,500 RPM",55750,Land Rover San Juan,A,9-Speed Automatic Overdrive,S R-Dynamic AWD,AWD,All-Wheel Drive,2020,67
37,Sedan,,201,Black,07/08/20,BLACK,278722292,-73.2587,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2017_hyundai_elantra-pic-1077239699635227821-152x114.jpeg,,Hyundai,5 seats,30707,Elantra,"201 hp @ 6,000 RPM",13324,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,Sport Sedan FWD,FWD,Front-Wheel Drive,2017,25
38,SUV / Crossover,,340,White (Eclipse / Ebony / Ebony),21/10/19,WHITE,255748407,-66.0785,https://static.cargurus.com/images/forsale/2020/05/15/18/25/2020_land_rover_range_rover_velar-pic-7744266751204785775-152x114.jpeg,,Land Rover,5 seats,88,Range Rover Velar,"340 hp @ 6,500 RPM",70742,Land Rover San Juan,A,8-Speed Automatic Overdrive,P340 R-Dynamic S AWD,AWD,All-Wheel Drive,2020,29
39,Sedan,36,160,Jet Black,16/07/20,SILVER,276675304,-73.2587,https://static.cargurus.com/images/forsale/2020/08/20/17/03/2018_chevrolet_malibu-pic-6861352828319733076-152x114.jpeg,,Chevrolet,5 seats,42394,Malibu,"160 hp @ 5,700 RPM",14639,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,LT FWD,FWD,Front-Wheel Drive,2018,53
40,SUV / Crossover,,246,Blue (Light Oyster/Ebony),21/02/20,BLUE,266454423,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_discovery_sport-pic-1179517722679284753-152x114.jpeg,,Land Rover,7 seats,20,Discovery Sport,"246 hp @ 5,500 RPM",55925,Land Rover San Juan,A,9-Speed Automatic Overdrive,SE R-Dynamic AWD,AWD,All-Wheel Drive,2020,58
41,Coupe,24,311,Black,04/08/20,BLACK,278352194,-73.8317,https://static.cargurus.com/images/forsale/2020/08/17/23/14/2018_lexus_rc_350-pic-1318251831596069079-152x114.jpeg,,Lexus,4 seats,62251,RC 350,"311 hp @ 6,600 RPM",32000,Eastchester Chrysler Jeep Dodge Ram,A,6-Speed Automatic,AWD,AWD,All-Wheel Drive,2018,63
42,SUV / Crossover,27,310,Dark Atmosphere/Medium Ash Gray,13/08/20,SILVER,279129180,-73.2587,https://static.cargurus.com/images/forsale/2020/09/02/12/15/2018_chevrolet_traverse-pic-1073896713205882930-152x114.jpeg,,Chevrolet,8 seats,36410,Traverse,"310 hp @ 6,800 RPM",23723,Atlantic Chevrolet Cadillac,A,9-Speed Automatic,LT Cloth FWD,FWD,Front-Wheel Drive,2018,57
43,SUV / Crossover,,180,Black,19/08/20,GRAY,279688583,-73.8317,https://static.cargurus.com/images/forsale/2020/08/29/01/58/2017_jeep_renegade-pic-3141759912258599126-152x114.jpeg,,Jeep,5 seats,15778,Renegade,"180 hp @ 6,400 RPM",16200,Eastchester Chrysler Jeep Dodge Ram,A,9-Speed Automatic,Altitude 4WD,4WD,Four-Wheel Drive,2017,39
44,SUV / Crossover,,148,Black,30/03/19,GRAY,236398705,-66.1582,https://static.cargurus.com/images/forsale/2018/07/27/06/39/2019_mazda_cx-3-pic-8834895861846305817-152x114.jpeg,,Mazda,5 seats,10,CX-3,"148 hp @ 6,000 RPM",29295,Flagship Chrysler,A,6-Speed Automatic Overdrive,Grand Touring FWD,FWD,Front-Wheel Drive,2019,54
45,SUV / Crossover,,187,Black,30/03/19,SILVER,236399040,-66.1582,https://static.cargurus.com/images/forsale/2018/12/20/17/16/2019_mazda_cx-5-pic-6149742365160506354-152x114.jpeg,,Mazda,5 seats,16,CX-5,"187 hp @ 6,000 RPM",28345,Flagship Chrysler,A,6-Speed Automatic Overdrive,Sport FWD,FWD,Front-Wheel Drive,2019,66
46,SUV / Crossover,22,281,Dark Titanium/Light Titanium,13/08/20,SILVER,279129181,-73.2587,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2017_chevrolet_traverse-pic-1548155329756738494-152x114.jpeg,,Chevrolet,8 seats,36055,Traverse,"281 hp @ 6,300 RPM",22422,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,1LT AWD,AWD,All-Wheel Drive,2017,35
47,SUV / Crossover,,246,White (Cloud),12/01/20,BLACK,263037611,-66.0785,https://static.cargurus.com/images/forsale/2020/05/15/18/25/2020_land_rover_range_rover_evoque-pic-3479432413959516847-152x114.jpeg,,Land Rover,5 seats,9,Range Rover Evoque,"246 hp @ 5,500 RPM",56478,Land Rover San Juan,A,9-Speed Automatic Overdrive,P250 SE AWD,AWD,All-Wheel Drive,2020,50
48,SUV / Crossover,25,295,Black,16/08/20,BLACK,279531621,-73.2587,https://static.cargurus.com/images/forsale/2020/08/25/12/12/2018_jeep_grand_cherokee-pic-7336780092433167197-152x114.jpeg,,Jeep,5 seats,25745,Grand Cherokee,"295 hp @ 6,400 RPM",29424,Atlantic Chevrolet Cadillac,A,8-Speed Automatic,Altitude 4WD,4WD,Four-Wheel Drive,2018,74
49,SUV / Crossover,,246,Black (Ebony),06/12/19,GRAY,259876001,-66.0785,https://static.cargurus.com/images/forsale/2020/05/15/18/25/2020_land_rover_discovery_sport-pic-4460944892029826987-152x114.jpeg,,Land Rover,7 seats,,Discovery Sport,"246 hp @ 5,500 RPM",71499,Land Rover San Juan,A,9-Speed Automatic Overdrive,SE AWD,AWD,All-Wheel Drive,2020,43
50,SUV / Crossover,25,172,dark slate gray,20/08/20,BLACK,279775073,-73.8317,https://static.cargurus.com/images/forsale/2020/08/24/23/36/2017_jeep_compass-pic-7984177525774713190-152x114.jpeg,,Jeep,5 seats,14607,Compass,"172 hp @ 6,000 RPM",17000,Eastchester Chrysler Jeep Dodge Ram,A,6-Speed Automatic,X High Altitude 4WD,4WD,Four-Wheel Drive,2017,69
51,Hatchback,,,Black,19/08/20,BLACK,279666591,-73.8317,https://static.cargurus.com/images/forsale/2020/08/27/23/26/2018_subaru_impreza-pic-7177352334902269377-152x114.jpeg,,Subaru,,19801,Impreza,,17300,Eastchester Chrysler Jeep Dodge Ram,CVT,Continuously Variable Transmission,2.0i Touring Wagon AWD,,,2018,52
52,Coupe,34,147,Black,30/05/20,RED,272950938,-73.8317,https://static.cargurus.com/images/forsale/2020/06/06/19/20/2020_hyundai_veloster-pic-4351025992194639066-152x114.jpeg,,Hyundai,4 seats,3073,Veloster,"147 hp @ 6,200 RPM",16900,Eastchester Chrysler Jeep Dodge Ram,A,6-Speed Automatic,2.0L Premium FWD,FWD,Front-Wheel Drive,2020,21
53,SUV / Crossover,,286,Black (Ebony),11/10/19,WHITE,254868757,-66.0785,https://static.cargurus.com/images/forsale/2020/05/15/18/25/2020_land_rover_discovery_sport-pic-6986406277091417751-152x114.jpeg,,Land Rover,5 seats,,Discovery Sport,"286 hp @ 5,500 RPM",75899,Land Rover San Juan,A,9-Speed Automatic Overdrive,HSE R-Dynamic AWD,AWD,All-Wheel Drive,2020,37
54,SUV / Crossover,25,241,Black,05/08/20,SILVER,278462572,-73.8317,https://static.cargurus.com/images/forsale/2020/09/01/18/49/2017_jeep_grand_cherokee-pic-5880059869711390235-152x114.jpeg,,Jeep,5 seats,16467,Grand Cherokee,"360 hp @ 5,150 RPM",25500,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,Limited 4WD,4WD,Four-Wheel Drive,2017,22
55,SUV / Crossover,27,310,Jet Black,30/07/20,WHITE,277998707,-73.2587,https://static.cargurus.com/images/forsale/2020/08/25/12/12/2018_chevrolet_traverse-pic-635066360562112936-152x114.jpeg,,Chevrolet,8 seats,37536,Traverse,"310 hp @ 6,800 RPM",23939,Atlantic Chevrolet Cadillac,A,9-Speed Automatic,LT Cloth FWD,FWD,Front-Wheel Drive,2018,38
56,SUV / Crossover,30,237,Jet Black,07/01/20,BLACK,262490501,-73.2587,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2019_cadillac_xt4-pic-8761525800686358118-152x114.jpeg,,Cadillac,5 seats,6946,XT4,"237 hp @ 5,000 RPM",31339,Atlantic Chevrolet Cadillac,A,9-Speed Automatic,Premium Luxury FWD,FWD,Front-Wheel Drive,2019,38
57,Sedan,36,184,Brown (Beige),20/08/20,RED,279804872,-73.8317,https://static.cargurus.com/images/forsale/2020/08/29/01/58/2016_chrysler_200-pic-5140939613533126994-152x114.jpeg,,Chrysler,5 seats,25794,200,"295 hp @ 6,350 RPM",13000,Eastchester Chrysler Jeep Dodge Ram,A,9-Speed Automatic,Limited Sedan FWD,FWD,Front-Wheel Drive,2016,26
58,SUV / Crossover,25,241,Black,19/08/20,RED,279710063,-73.8317,https://static.cargurus.com/images/forsale/2020/08/21/19/21/2017_jeep_grand_cherokee-pic-3629196656640156746-152x114.jpeg,,Jeep,5 seats,44138,Grand Cherokee,"360 hp @ 5,150 RPM",25700,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,Limited 4WD,4WD,Four-Wheel Drive,2017,57
59,SUV / Crossover,,246,Black (Light Oyster/Ebony),25/04/20,BLACK,270957422,-66.0785,https://static.cargurus.com/images/forsale/2020/05/15/18/25/2020_land_rover_discovery_sport-pic-9162449937010456674-152x114.jpeg,,Land Rover,7 seats,7,Discovery Sport,"246 hp @ 5,500 RPM",56515,Land Rover San Juan,A,9-Speed Automatic Overdrive,SE R-Dynamic AWD,AWD,All-Wheel Drive,2020,48
60,SUV / Crossover,,177,Black,23/04/19,ORANGE,238649856,-66.1582,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2019_jeep_renegade-pic-6176590250685945821-152x114.jpeg,,Jeep,5 seats,20,Renegade,"177 hp @ 5,750 RPM",31221,Flagship Chrysler,A,9-Speed Automatic Overdrive,Trailhawk 4WD,4WD,Four-Wheel Drive,2019,33
61,SUV / Crossover,27,310,Dark Atmosphere/Medium Ash Gray,18/06/20,UNKNOWN,274409090,-73.2587,https://static.cargurus.com/images/forsale/2020/08/20/14/28/2018_chevrolet_traverse-pic-1143088335696306031-152x114.jpeg,,Chevrolet,8 seats,29695,Traverse,"310 hp @ 6,800 RPM",26343,Atlantic Chevrolet Cadillac,A,9-Speed Automatic,LT Cloth FWD,FWD,Front-Wheel Drive,2018,60
62,Sedan,,283,Black,09/09/20,SILVER,281596115,-73.8317,https://d28oohqmlmgnr6.cloudfront.net/b7/68/30/18-9604-4951-8410-73f03196e8a8/image-1.jpg,,Chrysler,5 seats,57995,200,"283 hp @ 6,400 RPM",6500,Eastchester Chrysler Jeep Dodge Ram,A,6-Speed Automatic,Touring Sedan FWD,FWD,Front-Wheel Drive,2013,45
63,SUV / Crossover,,182,Jet Black,25/06/20,WHITE,275004294,-73.2587,https://static.cargurus.com/images/forsale/2020/07/10/04/58/2017_chevrolet_equinox-pic-1969528780594646930-152x114.jpeg,,Chevrolet,5 seats,31232,Equinox,"182 hp @ 6,700 RPM",16224,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,LT FWD,FWD,Front-Wheel Drive,2017,60
64,SUV / Crossover,,246,White (Cloud),06/12/19,BLACK,259875998,-66.0785,https://static.cargurus.com/images/forsale/2020/05/15/18/25/2020_land_rover_range_rover_evoque-pic-5904763114818888210-152x114.jpeg,,Land Rover,5 seats,8,Range Rover Evoque,"246 hp @ 5,500 RPM",56607,Land Rover San Juan,A,9-Speed Automatic Overdrive,P250 SE AWD,AWD,All-Wheel Drive,2020,50
65,SUV / Crossover,31,180,Black,24/08/20,UNKNOWN,280196807,-73.2587,https://cdn.inventoryrsc.com/103309900_5f58462d36526670b4015455.jpg?cargurus_image_modified_date=27DA16B5954175FC782FF9C0300C4A1C,,Jeep,5 seats,35392,Renegade,"180 hp @ 6,400 RPM",14849,Atlantic Chevrolet Cadillac,M,6-Speed Manual,Latitude 75th Anniversary 4WD,4WD,Four-Wheel Drive,2016,60
66,Sedan,,186,Black,20/06/19,BLUE,244110416,-66.1582,https://static.cargurus.com/images/forsale/2019/03/15/06/24/2019_mazda_mazda3-pic-7763446454994743164-152x114.jpeg,,Mazda,5 seats,11,MAZDA3,"186 hp @ 6,000 RPM",32195,Flagship Chrysler,A,6-Speed Automatic Overdrive,Premium Sedan FWD,FWD,Front-Wheel Drive,2019,44
67,SUV / Crossover,,340,Brown (Tan/Ebony/Tan),06/03/20,BLACK,267851168,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_discovery-pic-5749805736119893504-152x114.jpeg,,Land Rover,7 seats,7,Discovery,"340 hp @ 6,500 RPM",76640,Land Rover San Juan,A,8-Speed Automatic Overdrive,V6 HSE Luxury AWD,AWD,All-Wheel Drive,2020,45
68,SUV / Crossover,,355,Silver (Ebony/Ebony/Ebony/Ebony),21/02/20,SILVER,266454425,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_range_rover_sport-pic-6945856213810173703-152x114.jpeg,,Land Rover,7 seats,10,Range Rover Sport,"355 hp @ 5,500 RPM",76430,Land Rover San Juan,A,8-Speed Automatic Overdrive,V6 SE 4WD,AWD,All-Wheel Drive,2020,37
69,SUV / Crossover,20,285,Black,25/07/20,BLACK,277512563,-73.8317,,,Jeep,5 seats,99933,Wrangler Unlimited,"285 hp @ 6,400 RPM",18700,Eastchester Chrysler Jeep Dodge Ram,A,5-Speed Automatic,Sport 4WD,4WD,Four-Wheel Drive,2014,36
