entry_number,body_type,listed_date,main_picture_url,,make_name,maximum_seating,mileage,model_name,power,price,sp_name,transmission,transmission_display,trim_name,wheel_system,wheel_system_display,year,age_of_customer
117,Sedan,20/06/19,https://static.cargurus.com/images/forsale/2019/03/09/17/19/2019_mazda_mazda3-pic-5405522620808938421-152x114.jpeg,,Mazda,5 seats,19,MAZDA3,"186 hp @ 6,000 RPM",32195,Flagship Chrysler,A,6-Speed Automatic Overdrive,Premium Sedan FWD,FWD,Front-Wheel Drive,2019,53
118,SUV / Crossover,27/08/20,https://static.cargurus.com/images/forsale/2019/11/14/20/21/2020_land_rover_range_rover_velar-pic-9143785940133103069-152x114.jpeg,,Land Rover,5 seats,5,Range Rover Velar,"380 hp @ 6,500 RPM",81295,Land Rover San Juan,A,8-Speed Automatic Overdrive,P380 R-Dynamic HSE AWD,AWD,All-Wheel Drive,2020,61
119,SUV / Crossover,15/08/20,https://static.cargurus.com/images/forsale/2020/08/14/23/26/2020_land_rover_range_rover_evoque-pic-3956449492843232716-152x114.jpeg,,Land Rover,5 seats,8,Range Rover Evoque,"246 hp @ 5,500 RPM",58975,Land Rover San Juan,A,9-Speed Automatic Overdrive,P250 First Edition AWD,AWD,All-Wheel Drive,2020,39
120,SUV / Crossover,22/08/20,https://static.cargurus.com/images/forsale/2020/08/22/23/29/2017_hyundai_tucson-pic-6077837270597733498-152x114.jpeg,,Hyundai,5 seats,30843,Tucson,"164 hp @ 6,200 RPM",15939,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,2.0L SE AWD,AWD,All-Wheel Drive,2017,43
121,SUV / Crossover,14/07/20,https://static.cargurus.com/images/forsale/2020/08/20/16/47/2017_chevrolet_traverse-pic-5014645884281059158-152x114.jpeg,,Chevrolet,8 seats,24771,Traverse,"281 hp @ 6,300 RPM",23723,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,1LT AWD,AWD,All-Wheel Drive,2017,22
122,Coupe,09/07/20,https://static.cargurus.com/images/forsale/2020/08/17/23/14/2017_bmw_2_series-pic-3323816727447329812-152x114.jpeg,,BMW,4 seats,24584,2 Series,"248 hp @ 5,200 RPM",23500,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,230i xDrive Coupe AWD,AWD,All-Wheel Drive,2017,19
123,SUV / Crossover,02/09/20,https://static.cargurus.com/images/forsale/2020/09/03/20/28/2015_jeep_grand_cherokee-pic-4521773707492557396-152x114.jpeg,,Jeep,5 seats,59754,Grand Cherokee,"360 hp @ 5,150 RPM",21500,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,Limited 4WD,4WD,Four-Wheel Drive,2015,20
124,Minivan,12/07/20,https://static.cargurus.com/images/forsale/2020/07/18/04/43/2017_chrysler_pacifica-pic-246979116016166985-152x114.jpeg,,Chrysler,8 seats,32130,Pacifica,"287 hp @ 6,400 RPM",19500,Eastchester Chrysler Jeep Dodge Ram,A,9-Speed Automatic,Touring L FWD,FWD,Front-Wheel Drive,2017,44
125,SUV / Crossover,11/08/20,https://static.cargurus.com/images/forsale/2020/08/23/04/36/2014_nissan_rogue-pic-8715299428121495474-152x114.jpeg,,Nissan,7 seats,49531,Rogue,"170 hp @ 6,000 RPM",11500,Eastchester Chrysler Jeep Dodge Ram,CVT,Continuously Variable Transmission,SV AWD,AWD,All-Wheel Drive,2014,18
126,SUV / Crossover,11/10/19,https://static.cargurus.com/images/forsale/2020/05/18/22/57/2020_land_rover_discovery_sport-pic-481170799346495334-152x114.jpeg,,Land Rover,7 seats,,Discovery Sport,"246 hp @ 5,500 RPM",59499,Land Rover San Juan,A,9-Speed Automatic Overdrive,S AWD,AWD,All-Wheel Drive,2020,78
