entry_number,body_type,listed_date,main_picture_url,,make_name,maximum_seating,mileage,model_name,power,price,sp_name,transmission,transmission_display,trim_name,wheel_system,wheel_system_display,year,age_of_customer
175,SUV / Crossover,27/09/19,https://static.cargurus.com/images/forsale/2020/05/18/20/55/2020_land_rover_range_rover_hybrid-pic-5491443183237139669-152x114.jpeg,,Land Rover,5 seats,104,Range Rover Hybrid,"395 hp @ 5,500 RPM",101737,Land Rover San Juan,A,8-Speed Automatic Overdrive,HSE AWD,AWD,All-Wheel Drive,2020,21
176,Sedan,21/07/20,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2018_chevrolet_malibu-pic-3256221463785168536-152x114.jpeg,,Chevrolet,5 seats,35580,Malibu,"160 hp @ 5,700 RPM",15324,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,LT FWD,FWD,Front-Wheel Drive,2018,42
177,SUV / Crossover,11/01/20,https://static.cargurus.com/images/forsale/2020/07/04/09/52/2020_jaguar_e-pace-pic-1429412579813956114-152x114.jpeg,,Jaguar,5 seats,,E-PACE,"246 hp @ 5,500 RPM",63059,Land Rover San Juan,A,9-Speed Automatic Overdrive,P250 SE AWD,AWD,All-Wheel Drive,2020,25
178,Sedan,25/05/19,https://static.cargurus.com/images/forsale/2018/03/30/18/52/2018_mazda_mazda6-pic-5028871785197811177-152x114.jpeg,,Mazda,5 seats,10,MAZDA6,"250 hp @ 5,000 RPM",37140,Flagship Chrysler,A,6-Speed Automatic Overdrive,Signature Sedan FWD,FWD,Front-Wheel Drive,2018,80
179,SUV / Crossover,04/09/20,https://static.cargurus.com/images/forsale/2020/06/13/18/06/2020_land_rover_defender-pic-7222321763999434587-152x114.jpeg,,Land Rover,7 seats,11,Defender,"296 hp @ 5,500 RPM",64615,Land Rover San Juan,A,8-Speed Automatic Overdrive,110 S AWD,AWD,All-Wheel Drive,2020,35
180,SUV / Crossover,27/08/20,https://static.cargurus.com/images/forsale/2020/09/01/20/05/2019_jeep_compass-pic-356628306960571809-152x114.jpeg,,Jeep,5 seats,18015,Compass,"180 hp @ 6,400 RPM",21300,Eastchester Chrysler Jeep Dodge Ram,A,9-Speed Automatic,Latitude 4WD,4WD,Four-Wheel Drive,2019,28
181,Sedan,13/06/20,https://static.cargurus.com/images/forsale/2020/08/20/13/58/2017_chevrolet_cruze-pic-8615294311556325349-152x114.jpeg,,Chevrolet,5 seats,32585,Cruze,"153 hp @ 5,600 RPM",15439,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,Premier Sedan FWD,FWD,Front-Wheel Drive,2017,52
182,SUV / Crossover,30/03/19,https://static.cargurus.com/images/forsale/2018/11/28/17/21/2019_mazda_cx-5-pic-1526576424554803467-152x114.jpeg,,Mazda,5 seats,5,CX-5,"187 hp @ 6,000 RPM",35695,Flagship Chrysler,A,6-Speed Automatic Overdrive,Grand Touring AWD,AWD,All-Wheel Drive,2019,36
183,SUV / Crossover,25/07/20,https://static.cargurus.com/images/forsale/2020/08/17/23/14/2017_jeep_cherokee-pic-3674233007609959698-152x114.jpeg,,Jeep,5 seats,29713,Cherokee,"271 hp @ 6,500 RPM",19700,Eastchester Chrysler Jeep Dodge Ram,A,9-Speed Automatic,High Altitude 4WD,4WD,Four-Wheel Drive,2017,42
184,SUV / Crossover,04/09/20,https://static.cargurus.com/images/forsale/2019/11/20/19/29/2020_land_rover_range_rover_hybrid-pic-2841892844231277435-152x114.jpeg,,Land Rover,5 seats,18,Range Rover Hybrid,"395 hp @ 5,500 RPM",107750,Land Rover San Juan,A,8-Speed Automatic Overdrive,HSE AWD,AWD,All-Wheel Drive,2020,40
185,Pickup Truck,07/08/20,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2019_ford_f-350_super_duty-pic-8384217276532171376-152x114.jpeg,,Ford,5 seats,20553,F-350 Super Duty,"450 hp @ 2,800 RPM",71969,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,Platinum Crew Cab 4WD,4WD,Four-Wheel Drive,2019,61
186,Pickup Truck,07/09/20,https://static.cargurus.com/images/forsale/2020/09/08/03/27/2018_chevrolet_colorado-pic-7417572012932460988-152x114.jpeg,,Chevrolet,5 seats,35460,Colorado,"181 hp @ 3,400 RPM",25272,Atlantic Chevrolet Cadillac,A,8-Speed Automatic,LT Crew Cab LB RWD,4X2,4X2,2018,55
187,SUV / Crossover,20/08/20,https://static.cargurus.com/images/forsale/2020/08/24/23/36/2017_nissan_pathfinder-pic-8332510847557786674-152x114.jpeg,,Nissan,7 seats,39838,Pathfinder,"284 hp @ 6,400 RPM",23500,Eastchester Chrysler Jeep Dodge Ram,CVT,Continuously Variable Transmission,SL 4WD,4WD,Four-Wheel Drive,2017,55
188,SUV / Crossover,01/07/20,https://static.cargurus.com/images/forsale/2020/07/18/23/23/2020_land_rover_discovery-pic-1810278753617366579-152x114.jpeg,,Land Rover,7 seats,11,Discovery,"340 hp @ 6,500 RPM",64670,Land Rover San Juan,A,8-Speed Automatic Overdrive,V6 Landmark Edition,AWD,All-Wheel Drive,2020,40
189,Sedan,11/08/20,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2017_honda_civic-pic-2259969975042363836-152x114.jpeg,,Honda,5 seats,30370,Civic,"158 hp @ 6,500 RPM",13623,Atlantic Chevrolet Cadillac,CVT,Continuously Variable Transmission,LX,FWD,Front-Wheel Drive,2017,74
190,Pickup Truck,15/07/20,https://static.cargurus.com/images/forsale/2020/08/20/17/03/2017_chevrolet_silverado_1500-pic-7032334676708596491-152x114.jpeg,,Chevrolet,6 seats,28863,Silverado 1500,"355 hp @ 5,600 RPM",32439,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,LT Double Cab 4WD,4WD,Four-Wheel Drive,2017,52
191,SUV / Crossover,15/08/20,https://static.cargurus.com/images/forsale/2020/09/02/05/07/2018_jeep_grand_cherokee-pic-6916311257667823911-152x114.jpeg,,Jeep,5 seats,12634,Grand Cherokee,"360 hp @ 5,150 RPM",29300,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,Limited 4WD,4WD,Four-Wheel Drive,2018,48
192,SUV / Crossover,18/08/20,https://static.cargurus.com/images/forsale/2020/08/24/18/14/2018_jeep_grand_cherokee-pic-4192147214655445751-152x114.jpeg,,Jeep,5 seats,30928,Grand Cherokee,"360 hp @ 5,150 RPM",29300,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,Sterling Edition 4WD,4WD,Four-Wheel Drive,2018,65
193,SUV / Crossover,07/11/19,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_range_rover-pic-2122938864790525719-152x114.jpeg,,Land Rover,5 seats,12,Range Rover,"518 hp @ 6,000 RPM",118862,Land Rover San Juan,A,8-Speed Automatic Overdrive,HSE V6 4WD,AWD,All-Wheel Drive,2020,73
194,Sedan,25/05/19,https://static.cargurus.com/images/forsale/2018/04/11/11/18/2018_mazda_mazda6-pic-8893002408358155963-152x114.jpeg,,Mazda,5 seats,10,MAZDA6,"250 hp @ 5,000 RPM",37140,Flagship Chrysler,A,6-Speed Automatic Overdrive,Signature Sedan FWD,FWD,Front-Wheel Drive,2018,51
195,SUV / Crossover,06/08/20,https://static.cargurus.com/images/forsale/2020/08/24/18/14/2017_chevrolet_equinox-pic-5339533775996606947-152x114.jpeg,,Chevrolet,5 seats,73000,Equinox,"182 hp @ 6,700 RPM",12500,Eastchester Chrysler Jeep Dodge Ram,A,6-Speed Automatic Overdrive,LT FWD,FWD,Front-Wheel Drive,2017,60
196,SUV / Crossover,23/06/20,https://static.cargurus.com/images/forsale/2020/07/08/10/22/2017_chevrolet_tahoe-pic-7514727618653106173-152x114.jpeg,,Chevrolet,8 seats,41487,Tahoe,"355 hp @ 5,600 RPM",37972,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,LT 4WD,4WD,Four-Wheel Drive,2017,26
197,SUV / Crossover,06/12/19,https://static.cargurus.com/images/forsale/2020/07/04/09/52/2020_jaguar_e-pace-pic-1429412579813956114-152x114.jpeg,,Jaguar,5 seats,,E-PACE,"246 hp @ 5,500 RPM",65375,Land Rover San Juan,A,9-Speed Automatic Overdrive,P250 SE AWD,AWD,All-Wheel Drive,2020,59
198,SUV / Crossover,27/07/20,https://static.cargurus.com/images/forsale/2019/11/20/19/34/2020_land_rover_range_rover-pic-5510863411268167522-152x114.jpeg,,Land Rover,5 seats,8,Range Rover,"518 hp @ 6,000 RPM",119590,Land Rover San Juan,A,8-Speed Automatic Overdrive,HSE V6 4WD,AWD,All-Wheel Drive,2020,50
199,SUV / Crossover,23/04/19,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2019_dodge_durango-pic-4877143287566688327-152x114.jpeg,,Dodge,7 seats,12,Durango,"295 hp @ 6,400 RPM",38935,Flagship Chrysler,A,8-Speed Automatic Overdrive,GT RWD,RWD,Rear-Wheel Drive,2019,30
200,SUV / Crossover,06/03/20,https://static.cargurus.com/images/forsale/2020/05/18/20/55/2020_land_rover_discovery-pic-3989691609843989331-152x114.jpeg,,Land Rover,7 seats,15,Discovery,"340 hp @ 6,500 RPM",66005,Land Rover San Juan,A,8-Speed Automatic Overdrive,V6 Landmark Edition,AWD,All-Wheel Drive,2020,40
201,Sedan,25/06/20,https://static.cargurus.com/images/forsale/2020/08/22/23/39/2018_dodge_charger-pic-2746920449699424709-152x114.jpeg,,Dodge,5 seats,45550,Charger,"292 hp @ 6,350 RPM",22300,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,SXT Plus RWD,RWD,Rear-Wheel Drive,2018,40
202,SUV / Crossover,23/08/20,https://static.cargurus.com/images/forsale/2020/09/04/01/03/2016_chevrolet_suburban-pic-7159651879502936352-152x114.jpeg,,Chevrolet,8 seats,45966,Suburban,"355 hp @ 5,600 RPM",39439,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,1500 LTZ 4WD,4WD,Four-Wheel Drive,2016,61
203,SUV / Crossover,25/01/20,https://static.cargurus.com/images/forsale/2019/11/29/18/43/2020_mazda_cx-9-pic-5361806123264333222-152x114.jpeg,,Mazda,7 seats,10,CX-9,"250 hp @ 5,000 RPM",39695,Flagship Chrysler,A,6-Speed Automatic Overdrive,Sport FWD,FWD,Front-Wheel Drive,2020,56
204,SUV / Crossover,29/04/20,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2019_chevrolet_blazer-pic-9077350253670569366-152x114.jpeg,,Chevrolet,5 seats,7076,Blazer,"305 hp @ 6,600 RPM",26921,Atlantic Chevrolet Cadillac,A,9-Speed Automatic,2LT FWD,FWD,Front-Wheel Drive,2019,35
205,SUV / Crossover,18/06/20,https://static.cargurus.com/images/forsale/2020/08/20/14/28/2018_chevrolet_traverse-pic-1372347469981816683-152x114.jpeg,,Chevrolet,8 seats,29557,Traverse,"310 hp @ 6,800 RPM",26519,Atlantic Chevrolet Cadillac,A,9-Speed Automatic,LT Cloth FWD,FWD,Front-Wheel Drive,2018,24
206,SUV / Crossover,26/08/20,https://static.cargurus.com/images/forsale/2020/09/03/19/50/2014_jeep_grand_cherokee-pic-608401886469972749-152x114.jpeg,,Jeep,5 seats,61161,Grand Cherokee,"360 hp @ 5,150 RPM",17300,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,Limited 4WD,4WD,Four-Wheel Drive,2014,75
207,SUV / Crossover,30/08/20,https://static.cargurus.com/images/forsale/2020/09/01/00/12/2017_kia_sorento-pic-2008046450730766092-152x114.jpeg,,Kia,7 seats,11598,Sorento,"185 hp @ 6,000 RPM",16969,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,LX FWD,FWD,Front-Wheel Drive,2017,71
208,SUV / Crossover,20/08/20,https://static.cargurus.com/images/forsale/2020/05/18/19/01/2020_land_rover_range_rover_sport-pic-3131453904494123228-152x114.jpeg,,Land Rover,5 seats,20,Range Rover Sport,"575 hp @ 6,000 RPM",135465,Land Rover San Juan,A,8-Speed Automatic Overdrive,V8 SVR 4WD,AWD,All-Wheel Drive,2020,42
209,SUV / Crossover,26/08/20,https://static.cargurus.com/images/forsale/2020/09/04/23/59/2017_jeep_grand_cherokee-pic-3817677155615014031-152x114.jpeg,,Jeep,5 seats,24274,Grand Cherokee,"360 hp @ 5,150 RPM",29800,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,Trailhawk 4WD,4WD,Four-Wheel Drive,2017,32
210,SUV / Crossover,20/07/19,https://static.cargurus.com/images/forsale/2018/10/26/18/22/2019_mazda_cx-9-pic-6786386730058465913-152x114.jpeg,,Mazda,7 seats,10,CX-9,"250 hp @ 5,000 RPM",53095,Flagship Chrysler,A,6-Speed Automatic Overdrive,Signature AWD,AWD,All-Wheel Drive,2019,64
211,SUV / Crossover,25/02/20,https://static.cargurus.com/images/forsale/2019/11/29/18/43/2020_mazda_cx-9-pic-5361806123264333222-152x114.jpeg,,Mazda,7 seats,10,CX-9,"250 hp @ 5,000 RPM",39695,Flagship Chrysler,A,6-Speed Automatic Overdrive,Sport FWD,FWD,Front-Wheel Drive,2020,47
212,SUV / Crossover,30/07/20,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2017_chevrolet_traverse-pic-8220697363778712061-152x114.jpeg,,Chevrolet,8 seats,19656,Traverse,"281 hp @ 6,300 RPM",24439,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,1LT AWD,AWD,All-Wheel Drive,2017,47
213,SUV / Crossover,02/09/20,https://static.cargurus.com/images/forsale/2020/09/02/23/49/2015_jeep_wrangler_unlimited-pic-6964485023196059512-152x114.jpeg,,Jeep,5 seats,43240,Wrangler Unlimited,"285 hp @ 6,400 RPM",36000,Eastchester Chrysler Jeep Dodge Ram,A,5-Speed Automatic,Rubicon 4WD,4WD,Four-Wheel Drive,2015,63
214,SUV / Crossover,02/06/20,https://static.cargurus.com/images/forsale/2020/08/20/13/08/2013_cadillac_srx-pic-795449207907445014-152x114.jpeg,,Cadillac,5 seats,63723,SRX,"308 hp @ 6,800 RPM",13000,Eastchester Chrysler Jeep Dodge Ram,A,6-Speed Automatic,Luxury FWD,FWD,Front-Wheel Drive,2013,57
215,SUV / Crossover,14/08/20,https://static.cargurus.com/images/forsale/2020/08/25/12/12/2017_chevrolet_traverse-pic-6430890061806864796-152x114.jpeg,,Chevrolet,8 seats,20695,Traverse,"281 hp @ 6,300 RPM",23759,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,1LT FWD,FWD,Front-Wheel Drive,2017,78
216,SUV / Crossover,28/07/20,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2017_chevrolet_traverse-pic-1118543432245312049-152x114.jpeg,,Chevrolet,8 seats,38534,Traverse,"281 hp @ 6,300 RPM",21659,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,1LT FWD,FWD,Front-Wheel Drive,2017,64
217,SUV / Crossover,19/07/20,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2017_chevrolet_tahoe-pic-6938036444819878596-152x114.jpeg,,Chevrolet,8 seats,50522,Tahoe,"355 hp @ 5,600 RPM",36519,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,LT 4WD,4WD,Four-Wheel Drive,2017,58
218,Pickup Truck,19/08/20,https://static.cargurus.com/images/forsale/2020/08/27/23/26/2019_ram_1500-pic-8290329092619192748-152x114.jpeg,,RAM,5 seats,38602,1500,"395 hp @ 5,600 RPM",48700,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,Laramie Longhorn Crew Cab 4WD,4WD,Four-Wheel Drive,2019,67
219,Coupe,21/08/20,https://static.cargurus.com/images/forsale/2020/08/24/23/36/2016_ford_mustang-pic-4709118303642674459-152x114.jpeg,,Ford,4 seats,46955,Mustang,"435 hp @ 6,500 RPM",25000,Eastchester Chrysler Jeep Dodge Ram,A,6-Speed Automatic,GT Coupe RWD,RWD,Rear-Wheel Drive,2016,51
220,Pickup Truck,13/08/20,https://static.cargurus.com/images/forsale/2020/08/29/19/31/2019_chevrolet_silverado_1500-pic-4392811880600405146-152x114.jpeg,,Chevrolet,6 seats,16894,Silverado 1500,"355 hp @ 5,600 RPM",39439,Atlantic Chevrolet Cadillac,A,8-Speed Automatic,LT Crew Cab 4WD,4WD,Four-Wheel Drive,2019,48
221,SUV / Crossover,22/08/20,,,BMW,5 seats,81916,X5,"300 hp @ 5,800 RPM",20999,Dream Car Gallery,A,Automatic,xDrive35i AWD,AWD,All-Wheel Drive,2015,31
222,SUV / Crossover,11/07/20,https://static.cargurus.com/images/forsale/2020/07/30/06/47/2015_bmw_x5-pic-2599800899024298132-152x114.jpeg,,BMW,5 seats,87440,X5,"300 hp @ 5,800 RPM",17995,Dream Car Gallery,A,Automatic,xDrive35i AWD,AWD,All-Wheel Drive,2015,68
223,Coupe,30/03/19,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2019_dodge_challenger-pic-5046594691708062342-152x114.jpeg,,Dodge,5 seats,10,Challenger,"797 hp @ 6,300 RPM",94575,Flagship Chrysler,A,8-Speed Automatic Overdrive,SRT Hellcat Redeye RWD,RWD,Rear-Wheel Drive,2019,52
224,SUV / Crossover,15/08/20,https://static.cargurus.com/images/forsale/2020/08/16/09/22/2014_land_rover_range_rover-pic-8051538631098965915-152x114.jpeg,,Land Rover,5 seats,66623,Range Rover,"340 hp @ 6,500 RPM",31995,Dream Car Gallery,A,Automatic,HSE,4WD,Four-Wheel Drive,2014,59
225,Sedan,13/08/20,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2018_chevrolet_impala-pic-2357264197429078554-152x114.jpeg,,Chevrolet,5 seats,35959,Impala,"305 hp @ 6,800 RPM",16421,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,LT FWD,FWD,Front-Wheel Drive,2018,55
226,SUV / Crossover,26/07/20,https://static.cargurus.com/images/forsale/2020/08/11/18/57/2014_porsche_cayenne-pic-9149561560817766764-152x114.jpeg,,Porsche,5 seats,83249,Cayenne,"300 hp @ 6,300 RPM",16495,Dream Car Gallery,A,Automatic,Platinum Edition AWD,AWD,All-Wheel Drive,2014,72
227,SUV / Crossover,04/08/20,https://static.cargurus.com/images/forsale/2020/08/17/23/14/2018_jaguar_f-pace-pic-9111172349324568437-152x114.jpeg,,Jaguar,5 seats,37300,F-PACE,"296 hp @ 5,500 RPM",30388,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,30t Premium AWD,AWD,All-Wheel Drive,2018,60
228,Pickup Truck,12/08/20,https://static.cargurus.com/images/forsale/2020/09/05/07/27/2019_chevrolet_silverado_1500-pic-3089177877095258702-152x114.jpeg,,Chevrolet,6 seats,39526,Silverado 1500,"355 hp @ 5,600 RPM",31422,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,LT Double Cab 4WD,4WD,Four-Wheel Drive,2019,56
229,SUV / Crossover,26/08/20,https://static.cargurus.com/images/forsale/2020/08/26/08/34/2012_mercedes-benz_glk-class-pic-6868794031392952901-152x114.jpeg,,Mercedes-Benz,5 seats,85992,GLK-Class,"268 hp @ 6,000 RPM",10395,Dream Car Gallery,A,Automatic,GLK 350 4MATIC,AWD,All-Wheel Drive,2012,69
230,SUV / Crossover,05/08/20,https://static.cargurus.com/images/forsale/2020/08/22/22/57/2017_jeep_grand_cherokee-pic-7704594087267785599-152x114.jpeg,,Jeep,5 seats,26144,Grand Cherokee,"295 hp @ 6,400 RPM",27500,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,Altitude 4WD,4WD,Four-Wheel Drive,2017,80
231,SUV / Crossover,22/08/20,,,BMW,5 seats,62256,X5,"300 hp @ 5,800 RPM",21495,Dream Car Gallery,A,Automatic,xDrive35i AWD,AWD,All-Wheel Drive,2014,58
232,SUV / Crossover,28/01/20,https://static.cargurus.com/images/forsale/2020/04/15/04/08/2014_land_rover_range_rover_sport-pic-6827271273621779288-152x114.jpeg,,Land Rover,7 seats,77002,Range Rover Sport,"340 hp @ 6,500 RPM",22999,Dream Car Gallery,A,Automatic,HSE,4WD,Four-Wheel Drive,2014,18
233,Sedan,13/08/20,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2019_chevrolet_impala-pic-2070080607507423769-152x114.jpeg,,Chevrolet,5 seats,7002,Impala,"305 hp @ 6,800 RPM",21723,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,LT FWD,FWD,Front-Wheel Drive,2019,55
234,Pickup Truck,20/08/20,,,RAM,6 seats,39958,1500,"395 hp @ 5,600 RPM",27500,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,Express Crew Cab 4WD,4WD,Four-Wheel Drive,2017,50
235,Pickup Truck,09/09/20,https://d28oohqmlmgnr6.cloudfront.net/1e/c7/41/05-60ea-4486-a3cf-2b65b4518eff/image-1.jpg,,Chevrolet,6 seats,29881,Silverado 1500,"355 hp @ 5,600 RPM",35500,Eastchester Chrysler Jeep Dodge Ram,A,6-Speed Automatic Overdrive,LT Crew Cab 4WD,4WD,Four-Wheel Drive,2018,26
236,Sedan,16/08/20,https://static.cargurus.com/images/forsale/2020/08/29/01/58/2016_chrysler_200-pic-5453222988203762049-152x114.jpeg,,Chrysler,5 seats,54551,200,"295 hp @ 6,350 RPM",13500,Eastchester Chrysler Jeep Dodge Ram,A,9-Speed Automatic,S Sedan AWD,AWD,All-Wheel Drive,2016,53
237,Sedan,12/08/20,https://static.cargurus.com/images/forsale/2020/08/15/06/55/2013_bmw_5_series-pic-4712964204258232591-152x114.jpeg,,BMW,5 seats,80723,5 Series,"240 hp @ 6,000 RPM",12495,Dream Car Gallery,A,Automatic,528i xDrive Sedan AWD,AWD,All-Wheel Drive,2013,79
238,Pickup Truck,24/06/20,https://static.cargurus.com/images/forsale/2020/08/28/12/21/2019_chevrolet_silverado_2500hd-pic-4751514936503391869-152x114.jpeg,,Chevrolet,6 seats,42302,Silverado 2500HD,,48949,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,LT Crew Cab 4WD,4WD,Four-Wheel Drive,2019,21
239,SUV / Crossover,27/07/20,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2017_chevrolet_equinox-pic-6507979378404298562-152x114.jpeg,,Chevrolet,5 seats,108538,Equinox,"301 hp @ 6,500 RPM",11439,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,LT AWD,AWD,All-Wheel Drive,2017,54
240,SUV / Crossover,29/01/19,https://static.cargurus.com/images/forsale/2019/09/12/06/49/2009_jeep_wrangler-pic-8253426637958322392-152x114.jpeg,,Jeep,5 seats,101813,Wrangler Unlimited,"205 hp @ 5,200 RPM",12499,Auto Legend,M,Manual,Sahara 4WD,4WD,Four-Wheel Drive,2009,45
241,Sedan,20/08/20,https://static.cargurus.com/images/forsale/2020/08/25/23/47/2019_kia_optima-pic-4044131988190907398-152x114.jpeg,,Kia,5 seats,21549,Optima,"185 hp @ 6,000 RPM",16500,Eastchester Chrysler Jeep Dodge Ram,A,6-Speed Automatic,LX FWD,FWD,Front-Wheel Drive,2019,46
242,SUV / Crossover,21/08/20,,,Jaguar,5 seats,22691,F-PACE,"247 hp @ 5,500 RPM",31300,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,25t AWD,AWD,All-Wheel Drive,2019,49
243,Pickup Truck,28/08/20,https://static.cargurus.com/images/forsale/2020/09/01/00/12/2017_chevrolet_silverado_1500-pic-2726574903527096474-152x114.jpeg,,Chevrolet,6 seats,35734,Silverado 1500,"355 hp @ 5,600 RPM",32479,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,LT Double Cab 4WD,4WD,Four-Wheel Drive,2017,32
244,Pickup Truck,14/08/20,https://static.cargurus.com/images/forsale/2020/08/26/10/21/2017_chevrolet_silverado_1500-pic-6201143434638385742-152x114.jpeg,,Chevrolet,6 seats,77055,Silverado 1500,"355 hp @ 5,600 RPM",30924,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,LT Z71 Crew Cab 4WD,4WD,Four-Wheel Drive,2017,43
245,SUV / Crossover,18/08/19,https://static.cargurus.com/images/forsale/2019/08/31/18/47/2010_honda_pilot-pic-8015418823874660108-152x114.jpeg,,Honda,8 seats,125795,Pilot,"250 hp @ 5,700 RPM",12499,Auto Legend,A,Automatic,LX 4WD,4WD,Four-Wheel Drive,2010,30
246,Van,16/08/20,,,Ford,2 seats,135317,E-Series,"255 hp @ 4,500 RPM",4999,Auto Legend,A,Automatic,E-150 Cargo Van,RWD,Rear-Wheel Drive,2007,75
247,Convertible,09/01/20,https://static.cargurus.com/images/forsale/2020/08/11/18/57/2011_audi_r8-pic-2135119954627650472-152x114.jpeg,,Audi,2 seats,35042,R8,"420 hp @ 7,800 RPM",59495,Dream Car Gallery,A,Automatic,4.2 quattro Spyder AWD,AWD,All-Wheel Drive,2011,24
248,Sedan,15/07/20,https://static.cargurus.com/images/forsale/2020/08/17/23/14/2015_honda_civic-pic-12151286745257415-152x114.jpeg,,Honda,5 seats,61444,Civic,"143 hp @ 6,500 RPM",10200,Eastchester Chrysler Jeep Dodge Ram,CVT,Continuously Variable Transmission,LX,FWD,Front-Wheel Drive,2015,30
249,Minivan,26/08/20,https://static.cargurus.com/images/forsale/2020/09/01/23/41/2016_chrysler_town___country-pic-8549141192166111487-152x114.jpeg,,Chrysler,7 seats,45260,Town & Country,"283 hp @ 6,400 RPM",14800,Eastchester Chrysler Jeep Dodge Ram,A,6-Speed Automatic,Touring FWD,FWD,Front-Wheel Drive,2016,47
250,Sedan,26/08/20,https://cdn.inventoryrsc.com/103496133_5f58463036526670b4015478.jpg?cargurus_image_modified_date=27DA16B5954175FC782FF9C0300C4A1C,,Chevrolet,5 seats,6516,Impala,"305 hp @ 6,800 RPM",21259,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,LT FWD,FWD,Front-Wheel Drive,2019,39
251,SUV / Crossover,20/08/20,https://static.cargurus.com/images/forsale/2020/08/29/19/31/2017_chevrolet_equinox-pic-3045982970676721233-152x114.jpeg,,Chevrolet,5 seats,26829,Equinox,"182 hp @ 6,700 RPM",17324,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,LT FWD,FWD,Front-Wheel Drive,2017,29
252,SUV / Crossover,15/08/20,https://static.cargurus.com/images/forsale/2020/08/20/04/49/2013_bmw_x6_m-pic-8271247633971709445-152x114.jpeg,,BMW,4 seats,74046,X6 M,"555 hp @ 6,000 RPM",25495,Dream Car Gallery,A,Automatic,AWD,AWD,All-Wheel Drive,2013,59
253,Sedan,05/09/20,https://static.cargurus.com/images/forsale/2020/09/04/22/20/2013_bmw_5_series-pic-8636651318276215094-152x114.jpeg,,BMW,5 seats,65806,5 Series,"240 hp @ 6,000 RPM",11195,Dream Car Gallery,A,Automatic,528i xDrive Sedan AWD,AWD,All-Wheel Drive,2013,32
254,SUV / Crossover,25/08/20,https://static.cargurus.com/images/forsale/2020/08/29/05/53/2017_dodge_durango-pic-1175181685121577428-152x114.jpeg,,Dodge,7 seats,30346,Durango,"360 hp @ 5,150 RPM",30700,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,R/T AWD,AWD,All-Wheel Drive,2017,65
255,Sedan,03/01/20,https://static.cargurus.com/images/forsale/2020/08/29/04/34/2018_nissan_altima-pic-9020386175502405653-152x114.jpeg,,Nissan,5 seats,37811,Altima,"179 hp @ 6,000 RPM",16000,Eastchester Chrysler Jeep Dodge Ram,CVT,Continuously Variable Transmission,2.5 SL,FWD,Front-Wheel Drive,2018,60
